Phrase	Translation
很容易感冒。	[["It's easy to catch a cold.", 776367.0]]
他很容易迟到。	[['He is apt to be late.', 301509.0]]
他很容易感冒。	[['He catches colds easily.', 473603.0]]
游泳很容易。	[['Swimming is easy.', 487828.0]]
我认为这些问题很容易。	[['I thought the questions were easy.', 254451.0]]
这很容易。	[['This is very easy.', 1988417.0]]
这些问题太容易回答了。	[['These questions are easy to answer.', 55198.0]]
它比我想的容易。	[['It is easier than I thought.', 246223.0]]
这本书很容易读。	[['This book is easy to read.', 43910.0]]
他找工作容易。	[['It was easy for him to find a job.', 1827249.0]]
这次考试比较容易。	[['The exam was relatively easy.', 6451950.0]]
它不容易。	[["It hasn't been easy.", 2647663.0]]
这一点都不容易。	[["It isn't at all easy.", 7198646.0]]
你家很容易发现。	[['Your house was easy to find.', 6263560.0]]
如果你喜欢，就送给你吧。	[['You may have it for the asking.', 54344.0]]
如果你要你可以去。	[['You can go if you want to.', 30849.0]]
如果你离开日本，我会非常想你的。	[['I will badly miss you if you leave Japan.', 71334.0]]
如果你会唱歌就好了。	[["If you can sing, that's good enough.", 1498837.0]]
如果这是真的，那就太好了。	[['It would be great if that were true.', 433546.0]]
如果我们有多点时间就好了。	[['I wish we had more time.', 30442.0]]
告诉我你是如果解决这些问题的？	[['Tell me how you got over such troubles?', 47822.0]]
如果我很健康，我会很快乐。	[['If I were healthy, I would be happy.', 810106.0]]
如果你能就来吧。	[['Come if you can.', 450074.0]]
如果我知道的，会告诉你的。	[["If I knew that, I'd tell you.", 592765.0]]
如果你不懂，那就问。	[['If you do not understand, ask.', 8174697.0]]
如果你想，你可以来。	[['You may come if you like.', 29865.0]]
如果你不去，那我也不会去。	[["If you don't go, I won't, either.", 17864.0]]
如果他不来了，我们不会去。	[["If he doesn't come, we won't go.", 284276.0]]
如果明天下雨，我就不去。	[["If it rains tomorrow, I won't go.", 323378.0]]
如果你不了解，就问问题。	[["If you don't understand, ask a question.", 890385.0]]
如果我有时间我会来。	[['I will come, time permitting.', 30773.0]]
如果不多运动，你身体就不好。	[['If you don’t do more exercise, you’ll be unhealthy.', 1477314.0]]
如果你的妻子离开了你，你会怎么想？	[['How would you feel if your wife left you?', 1066854.0]]
如果你想去，就去好了。如果你不想去，那也没什么大不了的。	[["If you want to go, then go. If you don't want to, then it's no big deal.", 941358.0]]
如果你喜欢。	[['If you like.', 1745397.0]]
如果你生病了，就去看医生。	[['If you get sick, go to the doctor.', 3890969.0]]
如果你有问题，请来我的办公室几小时。	[['If you have questions, please come to my office hours.', 4261680.0]]
如果不是现在，那是什么时候？	[['If not now, when?', 4844536.0]]
如果我是你，我不会想去知道Tom现在正在做什么。	[["If I were you, I'd want to know what Tom is doing right now.", 2042754.0]]
如果你能来，我会很高兴。	[['If you can come, I will be very happy.', 5573303.0]]
那如果那是真的呢？	[["So what if that's true?", 5012998.0]]
如果我有钱了，我就会买它。	[['If I get rich, I will buy it.', 18522.0]]
如果你是我，你会怎么做？	[['If you are me, how can you do it?', 6007910.0]]
我如果能做，就做。	[['I would do it if I could.', 4555298.0]]
如果你高兴，我就高兴。	[["If you're happy, I'm happy.", 2055230.0]]
如果你喜欢，买就是了。	[['If you like it, just buy it.', 7222036.0]]
如果她知道我在这里, 她很快就会来。	[["If she knows I'm here, she'll come quickly.", 7681631.0]]
如果你有什么不懂的就问。	[["If there is something you don't understand, then ask.", 7785096.0]]
如果你会唱歌，那很好。	[['If you can sing, that is great.', 7819871.0]]
我不知道如果没了你我还能做什么。	[["I don't know what I'd do without you.", 2318312.0]]
如果我要的比他多呢？	[['What if I want it more than he does?', 9199573.0]]
如果想了解一个国家，就必须学习这个国家的历史。	[['If you want to know a country, you must learn its history.', 10547912.0]]
我上网了。	[['I am online.', 436415.0]]
他在上网。	[['He is on the Internet.', 3378269.0]]
你上网了吗？	[['Have you been online?', 7772873.0]]
他开始生气了。	[['He became angry.', 6885416.0]]
他生气了。	[['He got angry.', 507233.0]]
他非常生气。	[["He's very cross.", 6153066.0]]
您生气了吗？	[['Are you angry?', 476326.0]]
你生气了吗？	[['Are you angry?', 476326.0]]
为什么他生气？	[['Why is he angry?', 659319.0]]
你为什么生气？	[['Why are you angry?', 773128.0]]
我让她生气。	[['I made her angry.', 394661.0]]
这让我很生气。	[['This makes me very angry.', 56112.0]]
因为他迟到了，所以我很生气。	[['I was angry because he came late.', 3637532.0]]
他几乎从来都不会生气。	[['He almost never gets angry.', 1470427.0]]
别生气。	[["Don't get angry.", 319858.0]]
告诉我她为什么生气。	[['Tell me the reason why she got angry.', 309586.0]]
我知道你很生气。	[["I know that you're very angry.", 2681851.0]]
要是你不还给他，他就会生气！	[["If you don't give it back to him, he'll be angry!", 2737421.0]]
我们都很生气。	[["We're all angry.", 2240830.0]]
我还是为那生气。	[["I'm still angry about that.", 2544087.0]]
我会生气。	[['I can become angry.', 3994494.0]]
她是生气了，还是累了。	[['She is angry, and still tired.', 7797077.0]]
她非常生气。	[["She's really upset.", 9286567.0]]
我知道你会生气。	[["I knew you'd be furious.", 9408640.0]]
我没生气。	[["I wasn't angry.", 3171899.0]]
他为什么生气了呢？	[['Why did he become angry?', 9052249.0]]
Tony的声音好听。	[["Tony's voice is nice.", 37709.0]]
我几乎听不到他的声音。	[['I could hardly hear him.', 403363.0]]
我听不到你的声音。	[["I can't hear you.", 320093.0]]
她的声音很好听。	[['Her voice is very pretty.', 5574772.0]]
你声音大一点，我听不出来！	[["Louder. I can't hear you.", 8589128.0]]
她说话的声音真好听。	[['Her voice sounds really good.', 9323531.0]]
他的声音很好听。	[['He has a pleasant voice.', 418851.0]]
你好，世界！	[['Hello, world!', 398746.0]]
每个人都是一个世界。	[['Each person is a world.', 2141.0]]
他是世界上最有钱的人。	[['He is the richest man on earth.', 289924.0]]
来看看世界地图。	[['Have a look at the world map.', 271174.0]]
星期二是世界健康日。	[['Tuesday is World Health Day.', 8663676.0]]
这是张舒服的椅子。	[['This is a comfortable chair.', 243639.0]]
这张椅子坐得很舒服。	[['I feel quite at ease when I sit in this chair.', 61332.0]]
这张椅子很舒服。	[['This chair is very comfortable.', 61330.0]]
小姐！我觉得不舒服。	[['Miss! I feel sick.', 68753.0]]
我在他的公司里觉得很舒服。	[['I feel comfortable in his company.', 284387.0]]
我有点不舒服。	[["I'm not quite well.", 253995.0]]
他的声音听着很舒服。	[['His voice is pleasant to listen to.', 1223870.0]]
你身体不舒服吗？	[['Are you not feeling well?', 3658435.0]]
这个椅子坐着真舒服。	[['This chair is really comfortable to sit on.', 4872182.0]]
我知道你不舒服。	[["I know you're not comfortable.", 2376683.0]]
真让人不舒服。	[["It's very uncomfortable.", 2249380.0]]
你最近是不是身体有点不舒服？	[['Have you been feeling a bit of discomfort lately?', 7770321.0]]
这药会让你舒服些。	[['This medicine will give you some relief.', 56564.0]]
这个椅子坐着不舒服。	[['This chair is uncomfortable.', 2268904.0]]
新买的衣服穿上很舒服。	[['This new clobber is really comfy.', 10540384.0]]
我叔叔住在学校附近。	[['My uncle lives near the school.', 65069.0]]
你昨天看到的那个男人是我叔叔。	[['The man you saw yesterday was my uncle.', 408338.0]]
我的叔叔在这个办公室里工作。	[['My uncle works in this office.', 250248.0]]
让你叔叔想一想。	[['Let your uncle think about it.', 770194.0]]
我的叔叔给了我一本书。	[['My uncle gave me a book.', 65060.0]]
你叔叔住在什么地方？	[['Where does your uncle live?', 17412.0]]
我叔叔给了我一个照相机。	[['My uncle gave me a camera.', 65087.0]]
他问我我的叔叔住在哪里。	[['He asked me where my uncle lived.', 288158.0]]
我明天要去看我叔叔。	[["I'm seeing my uncle tomorrow.", 6873095.0]]
我叔叔给了我一块漂亮的手表。	[['I was given a nice watch by my uncle.', 253224.0]]
我的叔叔有三个孩子。	[['My uncle has 3 children.', 7800000.0]]
我不太喜欢数学。	[["I don't like math very much.", 7492585.0]]
我喜欢数学。	[['I like mathematics.', 435453.0]]
他数学得了一个好成绩。	[['He got a good grade in mathematics.', 300236.0]]
我的数学不好。	[["I'm not good at maths.", 7121039.0]]
我们上个星期去了数学的考试。	[['We took an examination in math last week.', 272759.0]]
我最不喜欢数学。	[['I like math least of all.', 258918.0]]
他的数学很好。	[['He is very good at math.', 5574907.0]]
你数学好吗？	[['Are you good in math?', 2820099.0]]
她学习数学	[['She studies mathematics.', 309992.0]]
他的数学很不好。	[['He is terrible at math.', 300241.0]]
她是出租车司机。	[['She is a taxi driver.', 311543.0]]
她是出租车司机吗？	[['Is she a taxi driver?', 311544.0]]
虽然我很累，但是我已经做了我能做的了。	[['Although I was tired, I did what I was able to do.', 895099.0]]
她虽然可爱，但是我不喜欢她。	[["She may be cute, but I don't like her.", 312991.0]]
问题是, 太阳能太贵了。	[['The problem is that solar energy costs too much.', 323865.0]]
我很喜欢太阳。	[['I love the sun.', 567161.0]]
我特别不喜欢她。	[["I don't particularly like her.", 310304.0]]
今天特别热。	[['It is especially hot today.', 242725.0]]
她特别想去。	[['She really wants to go.', 1257029.0]]
这没什么特别的。	[['It is not particular.', 4248303.0]]
它真特别。	[['It was really special.', 3409161.0]]
它很特别。	[["It's very special.", 5374849.0]]
我们是特别的。	[["We're special.", 2203388.0]]
我们很特别。	[["We're special.", 2203388.0]]
您不特别。	[["You're not special.", 2218294.0]]
他特别的喜欢历史。	[['He particularly liked history.', 292209.0]]
每个人都很特别。	[['Every person is special.', 2094642.0]]
这很特别。	[['This is special.', 927326.0]]
为了提高我的汉语水平，我想去中国学习。	[["I'd like to study in China to improve the level of my Chinese.", 809042.0]]
我们有上体育课。	[['We have physical education.', 4267067.0]]
我知道你喜欢体育运动。	[['I know that you like sports.', 7521027.0]]
他是我的同事	[['He is my colleague.', 1700362.0]]
这衣服是我同事的，不是我的。	[["This clothing is my coworker's, not mine.", 6149537.0]]
我同意。	[['I agree with that.', 4530158.0]]
我同意他。	[['I agree with him.', 260397.0]]
大家都同意你。	[['All agree with you.', 412338.0]]
问题是我爸爸妈妈会不会同意。	[['The problem is whether my parents will agree or not.', 323916.0]]
我们同意。	[['We are in agreement.', 9305516.0]]
我同意你。	[['I agree with you.', 257058.0]]
好。我同意。	[['OK. I agree.', 433874.0]]
我不同意你的决定。	[["I don't approve your decision.", 17662.0]]
我同意你这一点。	[['I agree with you on this point.', 253702.0]]
我不认为他会同意。	[["I don't think he'll say yes.", 288952.0]]
我非常同意你。	[['I really agree with you.', 2381339.0]]
我在那一点上同意他。	[['I agreed with him on that point.', 254590.0]]
我同意她。	[['I agreed with her.', 261105.0]]
你同意吗?	[['Do you agree?', 434532.0]]
我不同意他。	[["I don't agree with him.", 2453.0]]
太同意了。	[['Truer words were never spoken.', 1421317.0]]
同意。	[['I agree.', 436281.0]]
我们也同意。	[['I also agree.', 5933089.0]]
你不同意吗？	[["Don't you agree?", 2136815.0]]
您不同意吗？	[["Don't you agree?", 2136815.0]]
我不同意。	[["I don't think I agree.", 9408322.0]]
我想我同意。	[['I think I agree.', 2407728.0]]
我很高兴我们同意。	[["I'm glad we agree.", 1890979.0]]
他同意了。	[['He agreed.', 4991645.0]]
他的头发很长。	[['He has long hair.', 705440.0]]
你的头发太长了。	[['Your hair is too long.', 16926.0]]
您的头发是什么颜色的？	[['What color is your hair?', 464526.0]]
我觉得你新的头发颜色好看。	[['I think your new hair color looks good.', 2756650.0]]
他有长头发。	[['He has long hair.', 705440.0]]
我没洗头发。	[["I haven't washed my hair.", 1066758.0]]
你的头发很漂亮。	[["Your hair's beautiful.", 5899622.0]]
我的头发很长	[['My hair is very long.', 4713458.0]]
他头发长长的。	[['He had long hair.', 1578556.0]]
她的头发长回来了。	[['Her hair grew back.', 309635.0]]
我的头发已经很长了。	[['My hair is already very long.', 8932619.0]]
他突然看见了我。	[['Suddenly he saw me.', 650268.0]]
我突然想到你。	[["I'm thinking about you.", 257110.0]]
突然开始下雨。	[['Suddenly it began to rain.', 1600022.0]]
我突然好想大叫。	[['I felt an impulse to cry out loud.', 275778.0]]
我突然想到，他可能在图书馆 。	[['It occurred to me that he might be in the library.', 1577255.0]]
刚才天气还很好，怎么会突然下雨了呢？	[['The weather was great just a moment ago. How is it suddenly raining now?', 3060478.0]]
如果不是因为有你的帮助，我不可能完成了这个工作。	[["If it had not been for your help, I couldn't have completed the work.", 30866.0]]
是什么时候完成的？	[['When was it finished?', 24559.0]]
我昨天完成了工作。	[['I finished the work yesterday.', 47635.0]]
你完成你的工作了吗?	[['Are you finished with your work?', 245378.0]]
她完成了她的工作吗？	[['Has she finished her work yet?', 312333.0]]
我们几乎完成了我们的工作。	[['We have almost finished our work.', 245421.0]]
他几乎已经完成这个工作了。	[['He has all but finished the work.', 292755.0]]
你的工作都完成了。	[["You've finished your work.", 70632.0]]
我们完成了吗？	[['Are we finished?', 2244924.0]]
我们的工作快完成了。	[['Our work is almost done.', 4756016.0]]
你是怎么完成的？	[['How did you accomplish this?', 4127638.0]]
你完成工作了吗？	[['Did you complete the work?', 1154010.0]]
完成你的工作。	[['Finish your work.', 5323507.0]]
我希望今天晚上我能完成我的书。	[['I hope to be able to finish my book tonight.', 8969323.0]]
他的工作现在完成了。	[['His work is now complete.', 286426.0]]
你完成你的工作了吗？	[['Are you finished with your work?', 245378.0]]
忘记他吧。	[['Forget him.', 286516.0]]
我忘记了他的名字。	[["I've forgotten his name.", 740067.0]]
我经常忘记别人的名字。	[['I am constantly forgetting names.', 253143.0]]
我忘记他叫什么名字了。	[['I forgot what his name was.', 451745.0]]
不要忘记您的钱。	[["Don't forget your money.", 602885.0]]
不要忘记你的钱。	[["Don't forget your money.", 602885.0]]
我几乎忘记了。	[['I almost forgot it.', 31303.0]]
我今天忘记给他打电话了。	[['I forgot to call him today.', 243055.0]]
马上做，不要忘记。	[["Do it now, so you don't forget it.", 942439.0]]
我忘记问他了。	[['I forgot to ask him.', 354494.0]]
别忘记。	[["Don't forget.", 1844224.0]]
他忘记喂狗了。	[['He forgot to feed the dog.', 2153674.0]]
我忘记了给你买个礼物。	[['I forgot to buy you a gift.', 6220943.0]]
你很快就会习惯的。	[["You'll get used to it rapidly.", 2840149.0]]
你很快就会习惯新工作了。	[["You'll soon get accustomed to the work.", 47688.0]]
你很快就会习惯住在这里。	[['You will soon get accustomed to living here.', 16644.0]]
你会习惯的。	[['You will get used to it.', 4753735.0]]
我习惯了。	[["I'm used to it.", 396743.0]]
我不习惯走很长的路。	[["I'm not used to walking long distances.", 1211519.0]]
我现在已经习惯它了。	[["I'm used to it by now.", 2547089.0]]
这已经是个习惯了。	[['This is already a habit.', 6130949.0]]
我刚才在洗澡.	[['I was showering a moment ago.', 1136878.0]]
我正在洗澡。	[['I wash myself.', 437150.0]]
我现在想洗澡。	[['I feel like taking a bath now.', 257446.0]]
有人听到了他洗澡的时候唱歌。	[['He was heard singing in the shower.', 1214423.0]]
我习惯早上洗澡。	[['I am in the habit of taking a shower in the morning.', 252302.0]]
Tom在洗澡。	[['Tom is taking a shower.', 1660856.0]]
我洗澡了。	[['I showered.', 5675732.0]]
我要洗澡。	[['I want to take a bath.', 437071.0]]
我能在哪里洗澡？	[['Where can I take a bath?', 2459517.0]]
我们一起洗澡，好吗？	[['Shall we take a bath together?', 7798516.0]]
你洗澡了。	[['You had a bath.', 7837610.0]]
我一点也不要香蕉。	[["I don't want any bananas at all.", 7492557.0]]
我是个香蕉。	[['I am a banana.', 3682681.0]]
猫不吃香蕉。	[["Cats don't eat bananas.", 1254113.0]]
香蕉很好吃。	[['Bananas are delicious.', 1098563.0]]
一公斤香蕉多少钱?	[['How much is the kilo of bananas?', 436217.0]]
我一个香蕉也不要。	[["I don't want any bananas at all.", 7492557.0]]
不要相信一个你一点都不了解他过去的人。	[["Don't trust a man whose past you know nothing about.", 238014.0]]
我相信你。	[['I believe in you.', 237698.0]]
我和他都不相信。	[['I, as well as he, am not convinced.', 284492.0]]
你相信他吗？	[['Do you trust him?', 1904428.0]]
几乎没人相信她。	[['Almost no one believes her.', 1137270.0]]
你相信我吗？	[['Do you believe me?', 268823.0]]
我相信那个故事。	[['I believe that story.', 254738.0]]
我相信Ken。	[['I trust Ken.', 979369.0]]
再没有人相信他了。	[['No one trusts him any more.', 31200.0]]
不要相信他。	[["Don't believe him.", 2898333.0]]
我再也不相信他了。	[['I do not trust him any longer.', 255797.0]]
我相信他。	[['I believe in him.', 260942.0]]
你相信她吗?	[['Do you trust her?', 776107.0]]
你可以相信她。	[['You can count on her.', 662711.0]]
我不再相信他了。	[["I don't trust him any more.", 818058.0]]
你可以相信那个。	[['You can bank on that.', 16542.0]]
我们可以有多相信他？	[['To what degree can we trust him?', 249258.0]]
我相信他明天会来。	[['I believe he is coming tomorrow.', 304128.0]]
我相信他会做得很好。	[["I believe that he'll do fine.", 289626.0]]
她相信他	[['She trusts him.', 887479.0]]
你要相信我。	[['You have to trust me.', 1444839.0]]
他再也不相信那个医生了。	[["He doesn't trust the doctor any more.", 662666.0]]
来吧，相信我。	[['Come on, trust me.', 3549701.0]]
相信我。	[['Trust me.', 954991.0]]
我不能相信。	[["I can't believe that.", 1950849.0]]
我真是不能相信。	[["I just can't believe it.", 2361056.0]]
我不能相信他做到了。	[["I can't believe he did that.", 1745837.0]]
你真的相信那故事吗？	[['Do you really believe that story?', 2712951.0]]
我不能相信你爱我。	[["I can't believe you love me.", 8222893.0]]
我相信我能再见到你。	[['I trust that I can see you again.', 32687.0]]
我相信你错了。	[['I believe that you are wrong.', 6744862.0]]
我相信了你。	[['I believed you.', 1841709.0]]
他相信他是医生。	[['He believes that he is a doctor.', 7829885.0]]
我没办法相信你。	[["I can't trust you.", 1955085.0]]
我们可以相信她吗？	[['Can we trust her?', 2661842.0]]
我不相信你知道你在做什么。	[["I'm not convinced that you know what you're doing.", 6033122.0]]
没有人相信我。	[['Nobody believes me.', 2093026.0]]
没人会相信你。	[['Nobody will believe you.', 5773685.0]]
我很想相信。	[['I so wanted to believe that.', 5737197.0]]
我好想相信。	[['I so wanted to believe that.', 5737197.0]]
我们能相信您吗？	[['Can we trust you?', 4054946.0]]
我们相信他。	[['We trust him.', 1082641.0]]
谁会相信你？	[["Who's going to believe you?", 3919435.0]]
为什么没有人相信我？	[['Why does no one believe me?', 2949967.0]]
你别相信他。	[["Don't trust him.", 307858.0]]
你相信UFO吗？	[['Do you believe in UFOs?', 70253.0]]
没人相信她。	[['No one believes her.', 1773679.0]]
你要小心一点。	[['You need to be more careful.', 69723.0]]
小心狗！	[['Beware of the dog!', 323550.0]]
走路小心。	[['Watch your step.', 274491.0]]
小心不要感冒了。	[['Be careful not to catch a cold.', 473593.0]]
小心！	[['Be careful!', 2047579.0]]
我希望下次你会小心点。	[["I hope next time you'll be more careful.", 9188671.0]]
我非常小心了。	[['I was very careful.', 2047596.0]]
路上小心！	[['Drive carefully!', 10251058.0]]
您得小心。	[['You need to be careful.', 2020560.0]]
你听到新闻了吗？	[['Did you hear the news?', 69991.0]]
我想吃点新鲜的鱼。	[['I want to eat fresh fish.', 269326.0]]
我想要一些新鲜的鸡蛋。	[['I want some fresh eggs.', 271754.0]]
面包不新鲜。	[["The bread isn't fresh.", 7492763.0]]
这些都很新鲜。	[['These are fresh.', 2252699.0]]
我在超市买到了新鲜的鱼。	[['I was able to buy fresh fish in the market.', 6122317.0]]
那就要看你有没有兴趣了。	[['That depends on whether you are interested or not.', 42819.0]]
其他人没有兴趣。	[["The others can't be bothered.", 816858.0]]
他还有兴趣吗？	[['Is he still interested?', 2021197.0]]
他有很多兴趣爱好。	[['He has a lot of hobbies.', 301125.0]]
这是你的兴趣爱好吗？	[['Is this your hobby?', 10372327.0]]
熊猫很聪明。	[['Pandas are very clever.', 766003.0]]
你是熊猫。	[["You're a panda.", 1241060.0]]
你还需要茶吗？	[['Do you still need tea?', 32684.0]]
我们需要的是帮助。	[['What we need is help.', 1159840.0]]
我明天需要知道。	[['I need to know tomorrow.', 386759.0]]
这就是我需要的东西。	[['This is what I need.', 56215.0]]
他需要钱。	[['He needs money.', 382948.0]]
我需要你的帮助。	[['I require your assistance.', 2404152.0]]
你需要我帮忙吗？	[['Can I be of any service to you?', 249557.0]]
你需要这本书吗？	[['Do you need this book?', 372452.0]]
你还有什么事情需要我去做的吗？	[['Is there anything else you want me to do?', 25218.0]]
我需要你。	[['I need you.', 17735.0]]
我不需要。	[["I don't need it.", 318253.0]]
她需要帮助。	[['She is in need of help.', 314979.0]]
这需要时间。	[['It takes time.', 707527.0]]
我们需要钱。	[['We need money.', 493908.0]]
我们需要你的帮忙。	[['We need your help.', 410780.0]]
你需要可以帮助你的朋友。	[['You need to have friends who can help you out.', 16188.0]]
我需要学习数学。	[['I have to study mathematics.', 3629674.0]]
学校需要一个新的老师。	[['The school needed a new teacher.', 48955.0]]
她不需要做这个工作。	[['She need not have done the work.', 311237.0]]
我需要一个医生!	[['I need a doctor!', 436811.0]]
我们需要你的帮助。	[['We require your help.', 248606.0]]
我需要很多书。	[['I need a lot of books.', 826483.0]]
他不需要工作。	[["He doesn't need to work.", 503772.0]]
我不需要你的帮助。	[["I don't need your help.", 17057.0]]
你为什么需要它？	[['Why do you need it?', 36783.0]]
你为什么需要零钱?	[['Why do you need change?', 36630.0]]
我不需要她的帮助。	[['I can dispense with her help.', 309086.0]]
我在我的工作上需要一些帮助。	[['I need some help with my work.', 250927.0]]
她不需要做那个工作。	[["She didn't need to do that work.", 497124.0]]
你需要这些钱做什么?	[['What do you need this money for?', 495643.0]]
她需要我们的帮忙。	[['She needs our help.', 674487.0]]
她真的需要你的帮助。	[['She really needs your help.', 3468010.0]]
我们不再需要你了	[['We no longer need you.', 2646249.0]]
我需要个可以读书的地方。	[['I need a place where I can study.', 3962759.0]]
他需要十个小时来穿衣服。	[['He needs ten hours to get dressed.', 4736726.0]]
我们需要多一点咖啡。	[['We need some more coffee.', 715674.0]]
我真的不需要帮助。	[["I really don't need any help.", 4779063.0]]
我想Tom需要写一些东西。	[['I think Tom needs something to write.', 4834092.0]]
你有什么需要买的吗？	[['Do you need to buy anything?', 4872159.0]]
Nick不需要来我办公室。	[["Nick doesn't need to come to my office.", 35975.0]]
我们不需要其他人。	[["We don't need anyone else.", 2092477.0]]
你不需要考试。	[["You don't have to take an examination.", 69289.0]]
我需要知道你怎么想。	[['I need to know what you think.', 5298940.0]]
你如果需要帮助，就告诉我。	[['If you should need any help, just let me know.', 30607.0]]
需要什么就给我打电话。	[['Call me if you need anything.', 2973750.0]]
我有你需要的。	[['I have what you need.', 3822105.0]]
你需要帮助就告诉我。	[['Let me know if you need any help.', 5588318.0]]
我会需要帮助。	[["I'll get some help.", 2548786.0]]
你需要多少钱？	[['How much money do you need?', 2448653.0]]
你需要做好准备。	[['You need to get ready.', 2276415.0]]
我需要知道。	[['I need to know.', 2246738.0]]
我需要个朋友。	[['I need a friend.', 3824522.0]]
你不会需要它。	[["You won't need it.", 2274046.0]]
我需要你在这里。	[['I need you here.', 1887591.0]]
你需要帮助吗？	[['Do you need help?', 2053918.0]]
现在我需要你离开。	[['Now I need you to leave.', 5746238.0]]
我们可能需要一些。	[['We may need some.', 3312822.0]]
我什么都不需要。	[["I don't need anything.", 2271887.0]]
你什么时候需要的？	[['When do you need it?', 3439489.0]]
我需要帮助。	[['I need help.', 582309.0]]
我们需要他的帮忙。	[['We need his help.', 7772858.0]]
我谁也不需要。	[["I don't need anyone.", 1567429.0]]
我们需要帮助。	[['We need assistance.', 7781088.0]]
你不需要钱。	[["You don't need money.", 2274007.0]]
我们需要人帮忙。	[['We need to get some help.', 3161731.0]]
她需要一些钱来买点东西喂她的狗。	[['She needed some money to buy something to feed her dog.', 898571.0]]
有很多事情要做。你需要我帮忙吗？	[["There's quite a lot of things to do; do you want some help?", 2455.0]]
你需要茶或者别的什么吗？	[['Would you like tea or something?', 1987792.0]]
我需要盘子。	[['I need a plate.', 8822122.0]]
每个人都需要做了这个。	[['Everybody had to do this.', 7521685.0]]
你还需要什么呢？	[['What else will you need?', 3822098.0]]
孩子需要你。	[['The children need you.', 4839663.0]]
我需要出去。	[['I must go out.', 256630.0]]
出来，我需要帮助。	[['Come out here. I need help.', 3162187.0]]
看来你需要帮助。	[['It looks like you need help.', 3824081.0]]
我们现在就需要走。	[['We have to leave right now.', 10199854.0]]
我需要你回家去。	[['I need you to go home.', 1887593.0]]
我要是不需要明天做就好了。	[["I hope I don't have to do that tomorrow.", 6343838.0]]
我需要医生。	[['I need a doctor.', 2280312.0]]
你需要什么?	[['What is it that you need?', 2644689.0]]
做出您的选择。	[['Make your choice.', 17190.0]]
你可以选择你喜欢的。	[['You may choose what you like.', 240680.0]]
请选择一个人。	[['Please choose one person.', 442000.0]]
我们没有别的选择。	[["We don't have another choice.", 2269594.0]]
你有选择。	[['You do have choices.', 4497998.0]]
你必须做出选择。	[['You have to choose.', 2548461.0]]
我没什么选择。	[["I don't really have much choice.", 6257279.0]]
这是你的选择。	[["It's your decision.", 641449.0]]
没眼镜我可以读。	[['I can read without glasses.', 256747.0]]
我找不到我的眼镜。	[["I can't find my glasses.", 31841.0]]
没有了我的眼镜我几乎看不到。	[['I can hardly see without my glasses.', 256746.0]]
我的眼镜在哪里？	[['Where are my glasses?', 438930.0]]
我要求她离去。	[['I demanded that she should go.', 261180.0]]
他要求我帮助他。	[['He asked me to help him.', 297644.0]]
我要求他明天去那里。	[['I asked him to go there tomorrow.', 260494.0]]
他要求我们安静。	[['He asked that we be silent.', 1441093.0]]
爷爷买给我的！	[['Grandpa bought it for me!', 73932.0]]
那个故事是我爷爷告诉我的。	[['It was my grandfather that told me that story.', 844692.0]]
你爷爷住在哪里？	[['Where does your grandfather live?', 736623.0]]
你爷爷多大了？	[['How old is your grandfather?', 71000.0]]
我是Tom的爷爷。	[["I'm Tom's grandfather.", 2235790.0]]
Tom是我爷爷。	[['Tom is my grandfather.', 1495853.0]]
我们担心着爷爷和奶奶。	[["We're worried about Grandma and Grandpa.", 247158.0]]
我和妈妈，弟弟还有爷爷奶奶住在一起。	[['I live with my mother, brother and my grandparents.', 320536.0]]
他的感冒一定是好了。	[['He must have gotten over his cold.', 303428.0]]
我想你一定很喜欢你的工作吧。	[['I believe you like your job.', 69368.0]]
我一定会去看他的。	[["I'll certainly go and see him.", 30524.0]]
我一定要马上去吗？	[['Must I go there at once?', 52276.0]]
它一定是个生日蛋糕。	[['It must be a birthday cake!', 781148.0]]
他一定很爱你。	[['He must love you.', 63365.0]]
他一定是校长。	[['He must be the principal.', 413023.0]]
她一定是生病了。	[['She must be sick.', 316692.0]]
你一定是开玩笑！	[['You must be kidding!', 32858.0]]
一定有解决的办法。	[['There must be some way to solve this.', 54974.0]]
我为什么一定要知道呢？	[['Why must I know about it?', 8264637.0]]
明天我一定要记得去买那一本书。	[['I must remember to buy that book tomorrow.', 261951.0]]
明天，一定要给我打电话。	[['Mind you call me up tomorrow.', 323071.0]]
一共有十多个学生。	[['There are about ten to twenty students in total.', 1230528.0]]
一共要多少钱？	[['How much will it all cost?', 5834713.0]]
他和我一样高。	[["He's as tall as me.", 5528543.0]]
今天天气很好，和明天一样。	[['The weather today is great, as it will be tomorrow.', 432784.0]]
他和她一样高。	[['He is as tall as she.', 302634.0]]
是的，他几乎和我一样高。	[["Yes, he's almost as tall as I am.", 65363.0]]
他和他爸爸一样高。	[['He is as tall as his father.', 47447.0]]
我弟弟和我一样高。	[['My little brother and I are the same height.', 2745838.0]]
我儿子现在和我一样高了。	[['My son is now as tall as I am.', 274430.0]]
这桌子和我们家的一样大。	[['This table is just as large as ours.', 60872.0]]
你的问题和我的一样。	[['We have the same problem.', 1790835.0]]
我叔叔送了我一样礼物。	[['My uncle gave me a gift.', 707207.0]]
你和我一样高。	[['You are as tall as I am.', 4909.0]]
我是小孩子的时候，我是一样。	[['I was like that when I was younger.', 3031389.0]]
